sample,tissue,umap1,umap2,kmeans,physiotype,plate,case_id
430458f1-86d8-4ec8-a8fe-6a58ac832bdd.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.5661879,6.978833,1,2,1206,TCGA-05-4382
45310b76-8ea1-4d13-9d9f-1f1d874e0285.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.960381,4.153768,1,1,2241,TCGA-44-8119
4564496a-31da-4537-abe0-5b3f2455ed13.rna_seq.augmented_star_gene_counts.tsv,Tumor,-0.121427745,7.466659,1,2,1628,TCGA-05-5429
461cd8f2-fe53-448d-b6a9-0a95792464c7.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.4449017,4.933389,1,1,2326,TCGA-86-8358
4772e349-a753-4c41-9c48-ae3af0f58520.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.295143,5.552129,1,1,A24H,TCGA-55-A48Y
4822db97-46d7-4302-bef9-63086b777e9c.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.4728346,7.7931323,1,1,A24X,TCGA-93-A4JO
482e60ad-222e-4ead-8a3c-a3b44e54aa5e.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.5232544,3.9977007,1,3,A24X,TCGA-55-A494
484f0a13-a636-484b-9880-5066955dee6e.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.646523,6.311686,1,2,1628,TCGA-64-5781
48fdafbf-3f8b-46ba-8aa9-f081f0b54739.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.140766,10.547233,0,2,A39D,TCGA-55-A57B
4933c476-e3f3-45b0-b158-dcbe0539644e.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.105388,7.175836,1,2,2066,TCGA-44-7660
